review_id,review_text,sentiment_label,sentiment_score,identified_theme(s),date,bank
370,Corrupted and poor app,negative,-0.4,Uncategorized Feedback,2024-07-24,Bank of Abyssinia
371,Good,positive,0.7,Uncategorized Feedback,2024-07-24,Bank of Abyssinia
372,When I try to use the application it says 'developer setting should be off' where is the setting to off this play Still doesn't work for me,neutral,0.0,Uncategorized Feedback,2024-07-24,Bank of Abyssinia
373,Nice,positive,0.6,Uncategorized Feedback,2024-07-24,Bank of Abyssinia
374,FIX YOUR Apollo!! You guys where the best 👌,positive,1.0,Uncategorized Feedback,2024-07-23,Bank of Abyssinia
375,Always slow and doesn't work on weekends if you are in a rush or a merchant this app is not for you,negative,-0.3,Poor Customer Service,2024-07-23,Bank of Abyssinia
376,"It's very difficult to use the user, app,ones dawenload the user can't operate well , no one can help me,",negative,-0.65,Uncategorized Feedback,2024-07-23,Bank of Abyssinia
377,Poor application. It turned off by itself,negative,-0.4,Uncategorized Feedback,2024-07-23,Bank of Abyssinia
378,Okay,positive,0.5,Neutral/Functional Feedback,2024-07-23,Bank of Abyssinia
379,Allowed,neutral,0.0,Uncategorized Feedback,2024-07-23,Bank of Abyssinia
380,It usually crashes and the reason it gives is a problem on internet connection although the internet was fine.,neutral,0.0833333333333333,App Performance & Stability Issues,2024-07-23,Bank of Abyssinia
381,we want international mobile banking,neutral,0.0,Uncategorized Feedback,2024-07-22,Bank of Abyssinia
382,"screenshot isn't working, Please modify it",neutral,0.0,Uncategorized Feedback,2024-07-22,Bank of Abyssinia
383,Naziriet measho 89160437,neutral,0.0,Uncategorized Feedback,2024-07-22,Bank of Abyssinia
384,Ahmed Mohammed husen,neutral,0.0,Uncategorized Feedback,2024-07-21,Bank of Abyssinia
385,Is not working both this one and apollo did u make it better pls am gonne stop using this bank because of the mobile banking,positive,0.5,App Performance & Stability Issues,2024-07-19,Bank of Abyssinia
386,I have experiance,neutral,0.0,Uncategorized Feedback,2024-07-19,Bank of Abyssinia
387,The App is not working on Android 9.1 at all. It shows an error notification and forcefully closes the app. Must be fixed ASAP.,neutral,0.1,App Performance & Stability Issues,2024-07-19,Bank of Abyssinia
388,Wow,neutral,0.1,Uncategorized Feedback,2024-07-19,Bank of Abyssinia
389,Crashes very frequently is not stable overall need improvement such a huge bank needs a better app than the current one,positive,0.1391666666666666,App Performance & Stability Issues,2024-07-19,Bank of Abyssinia
